gender,race/ethnicity,parental level of education,math score,reading score,writing score
female,group B,bachelor's degree,72,72,74
female,group C,some college,69,90,88
female,group B,master's degree,90,95,93
male,group A,associate's degree,47,57,44
male,group C,some college,76,78,75
female,group B,associate's degree,71,83,78
female,group B,some college,88,95,92
male,group B,some college,40,43,39
male,group D,high school,64,64,67
female,group B,high school,38,60,50
male,group C,associate's degree,58,54,52
male,group D,associate's degree,40,52,43
female,group B,high school,65,81,73
male,group A,some college,78,72,70
female,group A,master's degree,50,53,58
female,group C,some high school,69,75,78
male,group C,high school,88,89,86
female,group B,some high school,18,32,28
male,group C,master's degree,46,42,46
female,group C,associate's degree,54,58,61
male,group D,high school,66,69,63
female,group B,some college,65,75,70
male,group D,some college,44,54,53
female,group C,some high school,69,73,73
male,group D,bachelor's degree,74,71,80
male,group A,master's degree,73,74,72
male,group B,some college,69,54,55
female,group C,bachelor's degree,67,69,75
male,group C,high school,70,70,65
female,group D,master's degree,62,70,75
female,group D,some college,69,74,74
female,group B,some college,63,65,61
female,group E,master's degree,56,72,65
male,group D,some college,40,42,38
male,group E,some college,97,87,82
male,group E,associate's degree,81,81,79
female,group D,associate's degree,74,81,83
female,group D,some high school,50,64,59
female,group D,associate's degree,75,90,88
male,group B,associate's degree,57,56,57
male,group C,associate's degree,55,61,54
female,group C,associate's degree,58,73,68
female,group B,associate's degree,53,58,65
male,group B,some college,59,65,66
female,group E,associate's degree,50,56,54
male,group B,associate's degree,65,54,57
female,group A,associate's degree,55,65,62
female,group C,high school,66,71,76
female,group D,associate's degree,57,74,76
male,group C,high school,82,84,82
male,group E,some college,53,55,48
male,group E,associate's degree,77,69,68
male,group C,some college,53,44,42
male,group D,high school,88,78,75
female,group C,some high school,71,84,87
female,group C,high school,33,41,43
female,group E,associate's degree,82,85,86
male,group D,associate's degree,52,55,49
male,group D,some college,58,59,58
female,group C,some high school,0,17,10
male,group E,bachelor's degree,79,74,72
male,group A,some high school,39,39,34
male,group A,associate's degree,62,61,55
female,group C,associate's degree,69,80,71
female,group D,some high school,59,58,59
male,group B,some high school,67,64,61
male,group D,some high school,45,37,37
female,group C,some college,60,72,74
male,group B,associate's degree,61,58,56
female,group C,associate's degree,39,64,57
female,group D,some college,58,63,73
male,group D,some college,63,55,63
female,group A,associate's degree,41,51,48
male,group C,some high school,61,57,56
male,group C,some high school,49,49,41
male,group B,associate's degree,44,41,38
male,group E,some high school,30,26,22
male,group A,bachelor's degree,80,78,81
female,group D,some high school,61,74,72
female,group E,master's degree,62,68,68
female,group B,associate's degree,47,49,50
male,group B,high school,49,45,45
male,group A,some college,50,47,54
male,group E,associate's degree,72,64,63
male,group D,high school,42,39,34
female,group C,some college,73,80,82
female,group C,some college,76,83,88
female,group D,associate's degree,71,71,74
female,group A,some college,58,70,67
female,group D,some high school,73,86,82
female,group C,bachelor's degree,65,72,74
male,group C,high school,27,34,36
male,group C,high school,71,79,71
male,group C,associate's degree,43,45,50
female,group B,some college,79,86,92
male,group C,associate's degree,78,81,82
male,group B,some high school,65,66,62
female,group E,some college,63,72,70
female,group D,some college,58,67,62
female,group D,bachelor's degree,65,67,62
male,group B,some college,79,67,67
male,group D,bachelor's degree,68,74,74
female,group D,associate's degree,85,91,89
male,group B,high school,60,44,47
male,group C,some college,98,86,90
female,group C,some college,58,67,72
female,group D,master's degree,87,100,100
male,group E,associate's degree,66,63,64
female,group B,associate's degree,52,76,70
female,group B,some high school,70,64,72
female,group D,associate's degree,77,89,98
male,group C,high school,62,55,49
male,group A,associate's degree,54,53,47
female,group D,some college,51,58,54
female,group E,bachelor's degree,99,100,100
male,group C,high school,84,77,74
female,group B,bachelor's degree,75,85,82
female,group D,bachelor's degree,78,82,79
female,group D,some high school,51,63,61
female,group C,some college,55,69,65
female,group C,bachelor's degree,79,92,89
male,group B,associate's degree,91,89,92
female,group C,some college,88,93,93
male,group D,high school,63,57,56
male,group E,some college,83,80,73
female,group B,high school,87,95,86
male,group B,some high school,72,68,67
male,group D,some college,65,77,74
male,group D,master's degree,82,82,74
female,group A,bachelor's degree,51,49,51
male,group D,master's degree,89,84,82
male,group C,some high school,53,37,40
male,group E,some college,87,74,70
female,group C,some college,75,81,84
male,group D,bachelor's degree,74,79,75
male,group C,bachelor's degree,58,55,48
male,group B,some high school,51,54,41
male,group E,high school,70,55,56
female,group C,associate's degree,59,66,67
male,group D,some college,71,61,69
female,group D,some high school,76,72,71
female,group C,some college,59,62,64
female,group E,some college,42,55,54
male,group A,high school,57,43,47
male,group D,some college,88,73,78
female,group C,some college,22,39,33
male,group B,some high school,88,84,75
male,group C,associate's degree,73,68,66
female,group D,bachelor's degree,68,75,81
male,group E,associate's degree,100,100,93
male,group A,some high school,62,67,69
male,group A,bachelor's degree,77,67,68
female,group B,associate's degree,59,70,66
male,group D,bachelor's degree,54,49,47
male,group D,some high school,62,67,61
female,group C,some college,70,89,88
female,group E,high school,66,74,78
male,group B,some college,60,60,60
female,group B,associate's degree,61,86,87
male,group D,associate's degree,66,62,64
male,group B,associate's degree,82,78,74
female,group E,some college,75,88,85
male,group B,master's degree,49,53,52
male,group C,high school,52,53,49
female,group E,master's degree,81,92,91
female,group C,bachelor's degree,96,100,100
male,group C,high school,53,51,51
female,group B,master's degree,58,76,78
female,group B,high school,68,83,78
female,group C,some college,67,75,70
male,group A,high school,72,73,74
male,group E,some high school,94,88,78
female,group D,some college,79,86,81
female,group C,associate's degree,63,67,70
female,group C,bachelor's degree,43,51,54
female,group C,master's degree,81,91,87
female,group B,high school,46,54,58
female,group C,associate's degree,71,77,77
female,group B,master's degree,52,70,62
female,group D,some high school,97,100,100
male,group C,master's degree,62,68,75
female,group C,some college,46,64,66
female,group E,high school,50,50,47
female,group D,associate's degree,65,69,70
male,group C,some high school,45,52,49
male,group C,associate's degree,65,67,65
male,group E,high school,80,76,65
male,group D,some high school,62,66,68
male,group B,some high school,48,52,45
female,group C,bachelor's degree,77,88,87
female,group E,associate's degree,66,65,69
male,group D,some college,76,83,79
female,group B,some high school,62,64,66
male,group D,some college,77,62,62
female,group C,master's degree,69,84,85
male,group D,associate's degree,61,55,52
male,group C,some high school,59,69,65
male,group E,high school,55,56,51
female,group B,some college,45,53,55
female,group B,bachelor's degree,78,79,76
female,group C,associate's degree,67,84,86
female,group D,some college,65,81,77
male,group C,associate's degree,69,77,69
female,group B,associate's degree,57,69,68
male,group C,some college,59,41,42
male,group D,some high school,74,71,78
male,group E,bachelor's degree,82,62,62
male,group E,high school,81,80,76
female,group B,some college,74,81,76
female,group B,some college,58,61,66
male,group D,some high school,80,79,79
male,group C,some college,35,28,27
female,group C,high school,42,62,60
male,group C,associate's degree,60,51,56
male,group E,high school,87,91,81
male,group B,some high school,84,83,75
female,group E,associate's degree,83,86,88
female,group C,high school,34,42,39
male,group B,high school,66,77,70
male,group B,some high school,61,56,56
female,group D,high school,56,68,74
male,group B,associate's degree,87,85,73
female,group C,some high school,55,65,62
male,group D,some high school,86,80,75
female,group B,associate's degree,52,66,73
female,group E,master's degree,45,56,54
female,group C,some college,72,72,71
male,group D,high school,57,50,54
male,group A,some high school,68,72,64
female,group C,some college,88,95,94
male,group D,some college,76,64,66
male,group C,associate's degree,46,43,42
female,group B,bachelor's degree,67,86,83
male,group E,some high school,92,87,78
male,group C,bachelor's degree,83,82,84
male,group D,associate's degree,80,75,77
male,group D,bachelor's degree,63,66,67
female,group D,some high school,64,60,74
male,group B,some college,54,52,51
male,group C,associate's degree,84,80,80
male,group D,high school,73,68,66
female,group E,bachelor's degree,80,83,83
female,group D,high school,56,52,55
male,group E,some college,59,51,43
male,group D,some high school,75,74,69
male,group C,associate's degree,85,76,71
male,group E,associate's degree,89,76,74
female,group B,high school,58,70,68
female,group B,high school,65,64,62
male,group C,high school,68,60,53
male,group A,some high school,47,49,49
female,group D,some college,71,83,83
female,group B,some high school,60,70,70
male,group D,master's degree,80,80,72
male,group D,high school,54,52,52
female,group E,some college,62,73,70
female,group C,associate's degree,64,73,68
male,group C,associate's degree,78,77,77
female,group B,some college,70,75,78
female,group C,master's degree,65,81,81
female,group C,some high school,64,79,77
male,group C,some college,79,79,78
female,group C,some high school,44,50,51
female,group E,high school,99,93,90
male,group D,high school,76,73,68
male,group D,some high school,59,42,41
female,group C,bachelor's degree,63,75,81
female,group D,high school,69,72,77
female,group D,associate's degree,88,92,95
female,group E,some college,71,76,70
male,group C,bachelor's degree,69,63,61
male,group C,some college,58,49,42
female,group D,associate's degree,47,53,58
female,group D,some college,65,70,71
male,group B,some college,88,85,76
male,group C,bachelor's degree,83,78,73
female,group C,some high school,85,92,93
female,group E,high school,59,63,75
female,group C,some high school,65,86,80
male,group B,bachelor's degree,73,56,57
male,group D,high school,53,52,42
male,group D,high school,45,48,46
female,group D,bachelor's degree,73,79,84
female,group D,some college,70,78,78
female,group B,some high school,37,46,46
male,group B,associate's degree,81,82,82
male,group E,associate's degree,97,82,88
female,group B,some high school,67,89,82
male,group B,bachelor's degree,88,75,76
male,group E,some high school,77,76,77
male,group C,associate's degree,76,70,68
male,group D,some high school,86,73,70
male,group C,some high school,63,60,57
female,group E,bachelor's degree,65,73,75
male,group D,high school,78,77,80
male,group B,associate's degree,67,62,60
male,group A,some high school,46,41,43
male,group E,associate's degree,71,74,68
male,group C,high school,40,46,50
male,group D,associate's degree,90,87,75
male,group A,some college,81,78,81
male,group D,some high school,56,54,52
female,group C,associate's degree,67,84,81
male,group B,associate's degree,80,76,64
female,group C,associate's degree,74,75,83
male,group A,some college,69,67,69
male,group E,some college,99,87,81
male,group C,some high school,51,52,44
female,group B,associate's degree,53,71,67
female,group D,high school,49,57,52
female,group B,associate's degree,73,76,80
male,group B,bachelor's degree,66,60,57
male,group D,bachelor's degree,67,61,68
female,group C,associate's degree,68,67,69
female,group C,bachelor's degree,59,64,75
male,group C,high school,71,66,65
female,group D,master's degree,77,82,91
male,group C,associate's degree,83,72,78
male,group B,bachelor's degree,63,71,69
female,group D,associate's degree,56,65,63
female,group C,high school,67,79,84
female,group E,high school,75,86,79
female,group C,some college,71,81,80
female,group C,some high school,43,53,53
female,group C,high school,41,46,43
female,group C,some college,82,90,94
male,group C,some college,61,61,62
male,group A,some college,28,23,19
male,group C,associate's degree,82,75,77
female,group B,some high school,41,55,51
male,group C,high school,71,60,61
male,group C,associate's degree,47,37,35
male,group E,associate's degree,62,56,53
male,group B,associate's degree,90,78,81
female,group C,bachelor's degree,83,93,95
female,group B,some college,61,68,66
male,group D,some high school,76,70,69
male,group C,associate's degree,49,51,43
female,group B,some high school,24,38,27
female,group D,some high school,35,55,60
male,group C,high school,58,61,52
female,group C,high school,61,73,63
female,group B,high school,69,76,74
male,group D,associate's degree,67,72,67
male,group D,some college,79,73,67
female,group C,high school,72,80,75
male,group B,some college,62,61,57
female,group C,bachelor's degree,77,94,95
male,group D,high school,75,74,66
male,group E,associate's degree,87,74,76
female,group B,bachelor's degree,52,65,69
male,group E,some college,66,57,52
female,group C,some college,63,78,80
female,group C,associate's degree,46,58,57
female,group C,some college,59,71,70
female,group B,bachelor's degree,61,72,70
male,group A,associate's degree,63,61,61
female,group C,some college,42,66,69
male,group D,some college,59,62,61
female,group D,some college,80,90,89
female,group B,high school,58,62,59
male,group B,some high school,85,84,78
female,group C,some college,52,58,58
female,group D,some high school,27,34,32
male,group C,some college,59,60,58
male,group A,bachelor's degree,49,58,60
male,group C,high school,69,58,53
male,group C,bachelor's degree,61,66,61
female,group A,some high school,44,64,58
female,group D,some high school,73,84,85
male,group E,some college,84,77,71
female,group C,some college,45,73,70
male,group D,some high school,74,74,72
female,group D,some college,82,97,96
female,group D,bachelor's degree,59,70,73
male,group E,associate's degree,46,43,41
female,group D,some high school,80,90,82
female,group D,master's degree,85,95,100
female,group A,some high school,71,83,77
male,group A,bachelor's degree,66,64,62
female,group B,associate's degree,80,86,83
male,group C,associate's degree,87,100,95
male,group C,master's degree,79,81,71
female,group E,some high school,38,49,45
female,group A,some high school,38,43,43
female,group E,some college,67,76,75
female,group E,bachelor's degree,64,73,70
female,group C,associate's degree,57,78,67
female,group D,high school,62,64,64
male,group D,master's degree,73,70,75
male,group E,some high school,73,67,59
female,group D,some college,77,68,77
male,group E,some college,76,67,67
male,group C,associate's degree,57,54,56
female,group C,some high school,65,74,77
male,group A,high school,48,45,41
female,group B,high school,50,67,63
female,group C,associate's degree,85,89,95
male,group B,some high school,74,63,57
male,group D,some high school,60,59,54
female,group C,some high school,59,54,67
male,group A,some college,53,43,43
female,group A,some college,49,65,55
female,group D,high school,88,99,100
female,group C,high school,54,59,62
female,group C,some high school,63,73,68
male,group B,associate's degree,65,65,63
female,group B,associate's degree,82,80,77
female,group D,high school,52,57,56
male,group D,associate's degree,87,84,85
female,group D,master's degree,70,71,74
male,group E,some college,84,83,78
male,group D,associate's degree,71,66,60
male,group B,some high school,63,67,67
female,group C,bachelor's degree,51,72,79
male,group E,high school,84,73,69
male,group C,bachelor's degree,71,74,68
male,group C,associate's degree,74,73,67
male,group D,some college,68,59,62
male,group E,high school,57,56,54
female,group C,associate's degree,82,93,93
female,group D,high school,57,58,64
female,group D,master's degree,47,58,67
female,group A,some high school,59,85,80
male,group B,some college,41,39,34
female,group C,some college,62,67,62
male,group C,bachelor's degree,86,83,86
male,group C,some high school,69,71,65
male,group A,some high school,65,59,53
male,group C,some high school,68,63,54
male,group C,associate's degree,64,66,59
female,group C,high school,61,72,70
male,group C,high school,61,56,55
female,group A,some high school,47,59,50
male,group C,some high school,73,66,66
male,group C,some college,50,48,53
male,group D,associate's degree,75,68,64
male,group D,associate's degree,75,66,73
male,group C,high school,70,56,51
male,group D,some high school,89,88,82
female,group C,some college,67,81,79
female,group D,high school,78,81,80
female,group A,some high school,59,73,69
female,group B,associate's degree,73,83,76
male,group A,some high school,79,82,73
female,group C,some high school,67,74,77
male,group D,some college,69,66,60
male,group C,high school,86,81,80
male,group B,high school,47,46,42
male,group B,associate's degree,81,73,72
female,group C,some college,64,85,85
female,group E,some college,100,92,97
female,group C,associate's degree,65,77,74
male,group C,some college,65,58,49
female,group C,associate's degree,53,61,62
male,group C,bachelor's degree,37,56,47
female,group D,bachelor's degree,79,89,89
male,group D,associate's degree,53,54,48
female,group E,bachelor's degree,100,100,100
male,group B,high school,72,65,68
male,group C,bachelor's degree,53,58,55
male,group B,some college,54,54,45
female,group E,some college,71,70,76
female,group C,some college,77,90,91
male,group A,bachelor's degree,75,58,62
female,group C,some college,84,87,91
female,group D,associate's degree,26,31,38
male,group A,high school,72,67,65
female,group A,high school,77,88,85
male,group C,some college,91,74,76
female,group C,associate's degree,83,85,90
female,group C,high school,63,69,74
female,group C,associate's degree,68,86,84
female,group D,some high school,59,67,61
female,group B,associate's degree,90,90,91
female,group D,bachelor's degree,71,76,83
male,group E,bachelor's degree,76,62,66
male,group D,associate's degree,80,68,72
female,group D,master's degree,55,64,70
male,group E,associate's degree,76,71,67
male,group B,high school,73,71,68
female,group D,associate's degree,52,59,56
male,group C,some college,68,68,61
male,group A,high school,59,52,46
female,group B,associate's degree,49,52,54
male,group C,high school,70,74,71
male,group D,some college,61,47,56
female,group C,associate's degree,60,75,74
male,group B,some high school,64,53,57
male,group A,associate's degree,79,82,82
female,group A,associate's degree,65,85,76
female,group C,associate's degree,64,64,70
female,group C,some college,83,83,90
female,group C,bachelor's degree,81,88,90
female,group B,high school,54,64,68
male,group D,high school,68,64,66
female,group C,some college,54,48,52
female,group D,some college,59,78,76
